filename,type,use,status
alveolos.png,png,web product/editorial,existing
apertura-gold.png,png,web product/editorial,conceptual
aplicaciones-empaque.png,png,web product/editorial,existing
balsamica-packshot.svg,svg,web product/editorial,conceptual
bitacora-fuego.png,png,web product/editorial,existing
coleccion-gold.png,png,web product/editorial,conceptual
coleccion-horno-gold.png,png,web product/editorial,conceptual
combo-primera-ruta.jpg,jpg,web product/editorial,existing
crea-tuya-detalle.jpg,jpg,web product/editorial,existing
crea-tuya-gold.png,png,web product/editorial,conceptual
despensa.png,png,web product/editorial,existing
editorial-apertura.jpg,jpg,web product/editorial,existing
editorial-fuego.jpg,jpg,web product/editorial,existing
editorial-harina.jpg,jpg,web product/editorial,existing
empaque-board-gold.png,png,web product/editorial,conceptual
evento-operacion-gold.png,png,web product/editorial,conceptual
eventos-noche-gold.png,png,web product/editorial,conceptual
fermentacion.png,png,web product/editorial,existing
harina-contexto.jpg,jpg,web product/editorial,existing
harina-empaques.png,png,web product/editorial,existing
harina-gold.png,png,web product/editorial,conceptual
harina-horno-gold.png,png,web product/editorial,conceptual
harina-horno.png,png,web product/editorial,existing
harina-manos.png,png,web product/editorial,existing
harina-packshot.jpg,jpg,web product/editorial,conceptual
hero-desktop.png,png,web product/editorial,existing
hero-mobile.png,png,web product/editorial,existing
la-errante-gold.png,png,web product/editorial,conceptual
manos-masa.png,png,web product/editorial,existing
masa-apertura-gold.jpg,jpg,web product/editorial,conceptual
masa-apertura.png,png,web product/editorial,existing
masa-fuego-gold.png,png,web product/editorial,conceptual
masa-territorio-gold.png,png,web product/editorial,conceptual
masa-territorio.jpg,jpg,web product/editorial,existing
panela-maracuya-packshot.svg,svg,web product/editorial,conceptual
pizza-bosque.jpg,jpg,web product/editorial,existing
pizza-coleccion-detalle.jpg,jpg,web product/editorial,existing
pizza-cuatro-quesos.jpg,jpg,web product/editorial,existing
pizza-diavola.jpg,jpg,web product/editorial,existing
pizza-errante.png,png,web product/editorial,existing
pizza-la-errante.jpg,jpg,web product/editorial,existing
pizza-margherita.jpg,jpg,web product/editorial,existing
pizza-neo.png,png,web product/editorial,existing
pizzas-artesanales.png,png,web product/editorial,existing
pizzas-coleccion.png,png,web product/editorial,existing
pizzeria-movil.png,png,web product/editorial,existing
salsa-tomate-packshot.svg,svg,web product/editorial,conceptual
